Gene_silenced,Floral_color,VIGS_trt,Plant_ID,Delphinidin.amt,Cyanidin.amt,Petunidin.amt,Pelargonidin.amt,Peonidin.amt,Malvidin.amt,anthos.sum
MYB,DB,Binfected,DB12,0,0.02124921,0.02401456,0,0.00692228,0.29949047,0.35167652
MYB,DB,Binfected,DB2,0,0.01237373,0.02225604,0,0.00458926,0.38941426,0.42863329
MYB,DB,Binfected,DB4,0.00973733,0.06118953,0.04211978,0,0.02725967,0.482777,0.62308331
MYB,DB,Binfected,DB6,0,0.01519697,0,0,0.02036251,0.17805473,0.2136142
MYB,DB,Binfected,DB7a,0,0.0134779,0.00822737,0,0.00826214,0.49991619,0.52988359
MYB,DB,Binfected,DB7b,0,0.01320174,0.01079657,0,0.00558942,0.35887553,0.38846325
MYB,DB,Binfected,DB8,0,0.06937504,0.00350264,0,0.02811897,0.19225969,0.29325634
MYB,DR,Binfected,DR10,0,0.27298352,0,0.01710753,0.45321133,0.01186228,0.75516466
MYB,DR,Binfected,DR13,0,3.29065685,0,0.2397533,2.60166647,0,6.13207662
MYB,DR,Binfected,DR15,0,0.37289666,0,0.00499625,0.14124357,0,0.51913648
MYB,DR,Binfected,DR2,0,0.41549803,0,0.00469948,0.09783079,0,0.5180283
MYB,DR,Binfected,DR4,0,0.29895778,0,0.05884055,0.29896528,0,0.65676361
MYB,DR,Binfected,DR7,0,0.46338939,0,0.00519091,0.10730149,0,0.57588179
MYB,DR,Binfected,DR9,0,0.3916534,0,0.00688213,0.32264246,0,0.72117799
PDS,PDS,EPDSinfected,PDS1,0.09057125,0.20414206,0.21822703,0,0.01479417,0.40463944,0.93237396
PDS,PDS,EPDSinfected,PDS10,0,1.61453473,0.00121651,0.00365493,0.15023714,0.00288501,1.77252833
PDS,PDS,EPDSinfected,PDS13,0,1.96877841,0.00404564,0,0.13406885,0,2.1068929
PDS,PDS,EPDSinfected,PDS2,0.03987993,0.11565826,0.1073536,0,0.01337803,0.44252044,0.71879025
PDS,PDS,EPDSinfected,PDS4,0,1.07122287,0.00998057,0,0.11362335,0,1.19482678
PDS,PDS,EPDSinfected,PDS8,0,1.4686339,0.01465197,0.00407893,0.18224076,0,1.66960555
PDS,PDS,EPDSinfected,PDS9,0,1.8121641,0.01132199,0,0.21188253,0.00525112,2.04061974
Nat,DB,CNatdark,DB1,0.023235664,0.084468015,0.123336485,0,0.033854753,0.409040852,0.673935769
Nat,DB,CNatdark,DB2,0.051794335,0.291736485,0.170472676,0,0.102571508,0.538713476,1.15528848
Nat,DB,CNatdark,DB3,0.017224541,0.30966633,0.057360564,0,0.074946573,0.373548084,0.832746092
Nat,DR,CNatdark,DR1,0,1.027021867,0,0.013339396,0.831015506,0,1.871376769
Nat,DR,CNatdark,DR2,0,1.054116079,0,0.017379803,0.838561749,0,1.910057631
Nat,LB,DNatlight,LB1,0,0.007284874,0,0,0.003684194,0.354986143,0.365955211
Nat,LB,DNatlight,LB2,0.013367852,0,0.205909402,0,0,0.122619712,0.341896966
Nat,LB,DNatlight,LB3,0.016449547,0,0.279173801,0,0,0.07513201,0.370755359
Nat,LR,DNatlight,LR1,0,0.182556432,0,0,0.209106772,0,0.391663204
Nat,LR,DNatlight,LR2,0,0.264655841,0,0,0.321686972,0,0.586342813
Nat,LR,DNatlight,LR3,0,0.08023826,0,0,0.099636419,0,0.179874679
MYB,DB,Auninfected,DB12,0.03875002,0.07619852,0.10634333,0,0.01425893,0.4126143,0.6481651
MYB,DB,Auninfected,DB2,0.09288829,0.19895366,0.15733632,0,0.02590918,0.6774546,1.15254206
MYB,DB,Auninfected,DB4,0.02362924,0.3552214,0.0853466,0,0.13432854,0.71374583,1.31227162
MYB,DB,Auninfected,DB6,0,0.31658946,0.00727109,0,0.19184875,0.62618974,1.14189905
MYB,DB,Auninfected,DB7a,0.0943623,0.14129626,0.14789448,0,0.02185258,0.51023082,0.91563645
MYB,DB,Auninfected,DB7b,0.05374577,0.15235188,0.12770233,0,0.0241984,0.37959268,0.73759106
MYB,DB,Auninfected,DB8,0.05870649,0.17808411,0.10655813,0,0.02787296,0.66382817,1.03504986
MYB,DR,Auninfected,DR10,0,1.32780507,0,0.00314224,0.62507301,0.01585567,1.97187599
MYB,DR,Auninfected,DR13,0,2.4618723,0,0.01755167,0.71781708,0,3.19724105
MYB,DR,Auninfected,DR15,0,1.31198659,0,0.00135119,0.21218734,0,1.52552512
MYB,DR,Auninfected,DR2,0,1.62790311,0.0140023,0.00073186,0.15541032,0,1.79804759
MYB,DR,Auninfected,DR4,0,1.3783924,0.00502425,0.01740263,0.30549054,0,1.70630983
MYB,DR,Auninfected,DR7,0,1.44101888,0,0,0.23624195,0,1.67726083
MYB,DR,Auninfected,DR9,0,1.30307555,0.01292832,0.00292565,0.26855063,0,1.58748015
PDS,PDS,Auninfected,PDS1,0.097211,0.17663458,0.23156376,0,0.01105996,0.48093521,0.99740452
PDS,PDS,Auninfected,PDS10,0,1.920727,0.000378,0,0.15499608,0.00404495,2.08014604
PDS,PDS,Auninfected,PDS13,0,2.16224144,0.01708334,0,0.21518084,0,2.39450562
PDS,PDS,Auninfected,PDS2,0.04614752,0.14237934,0.13191917,0,0.0212258,0.63508545,0.97675729
PDS,PDS,Auninfected,PDS4,0,0,0.00937347,0.00216161,0.14966671,0,0.16120179
PDS,PDS,Auninfected,PDS8,0,0,0.00794798,0.00223793,0.28040477,0.00317055,0.29376123
PDS,PDS,Auninfected,PDS9,0,0,0.00241142,0.00321507,0.26346693,0.00505436,0.27414778
