Individual	population	region	lat	long	CollectionYear	Int	Color	Qual_Int	Qual_Hue	Quant_Int_Bright	Quant_Chroma
01_01_06	2020_01	North_admix	30.06752	-97.21527	2020	L	R	1	2	16489.3215	0.30866032
01_06_03	2020_01	North_admix	30.06752	-97.21527	2020	D	B	2	1	10168.1235	0.51459328
01_08_42	2020_01	North_admix	30.06752	-97.21527	2020	L	B	1	1	16186.6841	0.26403399
01_09_05	2020_01	North_admix	30.06752	-97.21527	2020	L	R	1	2	14273.1341	0.39475452
01_11_03	2020_01	North_admix	30.06752	-97.21527	2020	L	R	1	2	15782.4292	0.30803722
01_15_04	2020_01	North_admix	30.06752	-97.21527	2020	L	R	1	2	16366.5354	0.32541434
01_20_05	2020_01	North_admix	30.06752	-97.21527	2020	L	R	1	2	16226.1848	0.33595678
02_02_30	2020_02	North_admix	30.13561	-97.37201	2020	D	B	2	1	9689.32826	0.53023564
02_04_36	2020_02	North_admix	30.13561	-97.37201	2020	D	B	2	1	10300.3812	0.47713296
02_05_06	2020_02	North_admix	30.13561	-97.37201	2020	L	B	1	1	13643.1684	0.32340497
02_12_31	2020_02	North_admix	30.13561	-97.37201	2020	L	B	1	1	16179.76869	0.247794618
02_13_05	2020_02	North_admix	30.13561	-97.37201	2020	L	B	1	1	13826.2816	0.29927845
02_14_03	2020_02	North_admix	30.13561	-97.37201	2020	L	B	1	1	14544.63765	0.282877226
02_15_01	2020_02	North_admix	30.13561	-97.37201	2020	L	B	1	1	16270.32091	0.261570925
02_16_03	2020_02	North_admix	30.13561	-97.37201	2020	L	B	1	1	14850.7054	0.2940373
03_07_30	2020_03	North_admix	30.0665	-97.3526	2020	L	R	1	2	15426.7025	0.34870002
03_09_04	2020_03	North_admix	30.0665	-97.3526	2020	D	R	2	2	10173.372	0.66997243
03_10_41	2020_03	North_admix	30.0665	-97.3526	2020	L	R	1	2	14316.8383	0.36285097
03_14_30	2020_03	North_admix	30.0665	-97.3526	2020	D	R	2	2	7988.37661	0.71671544
03_19_21	2020_03	North_admix	30.0665	-97.3526	2020	L	B	1	1	13848.2625	0.33431449
07_01_03	2020_07	North_admix	30.05097	-97.23811	2020	D	R	2	2	8205.17445	0.7166572
07_02_01	2020_07	North_admix	30.05097	-97.23811	2020	D	B	2	1	10989.5196	0.43391694
07_05_01	2020_07	North_admix	30.05097	-97.23811	2020	L	R	1	2	15143.456	0.3552609
07_07_21	2020_07	North_admix	30.05097	-97.23811	2020	D	R	2	2	8744.50101	0.65086465
07_09_02	2020_07	North_admix	30.05097	-97.23811	2020	D	R	2	2	7725.56704	0.70428437
07_11_01	2020_07	North_admix	30.05097	-97.23811	2020	D	R	2	2	8328.92537	0.66643532
07_15_36	2020_07	North_admix	30.05097	-97.23811	2020	D	B	2	1	10512.4507	0.46242359
08_01_30	2020_08	North_admix	30.0665	-97.3526	2020	D	R	2	2	8294.51838	0.71807117
08_03_03	2020_08	North_admix	30.0665	-97.3526	2020	D	R	2	2	NA	NA
08_04_20	2020_08	North_admix	30.0665	-97.3526	2020	D	R	2	2	8460.22508	0.70168907
08_11_40	2020_08	North_admix	30.0665	-97.3526	2020	D	R	2	2	8575.59702	0.71094066
09_06_09	2020_09	North_admix	30.16084	-97.3907	2020	D	B	2	1	11014.9531	0.48424414
09_07_22	2020_09	North_admix	30.16084	-97.3907	2020	D	B	2	1	11113.5741	0.45114613
09_08_33	2020_09	North_admix	30.16084	-97.3907	2020	D	B	2	1	8938.05386	0.60350273
09_09_30	2020_09	North_admix	30.16084	-97.3907	2020	L	B	1	1	15609.3629	0.28836212
09_10_20	2020_09	North_admix	30.16084	-97.3907	2020	L	R	1	2	14592.2761	0.35301347
09_14_03	2020_09	North_admix	30.16084	-97.3907	2020	D	B	2	1	10897.5142	0.45299965
09_16_01	2020_09	North_admix	30.16084	-97.3907	2020	D	B	2	1	10050.9902	0.50662958
09_17_20	2020_09	North_admix	30.16084	-97.3907	2020	L	B	1	1	13736.2878	0.29260201
09_19_39	2020_09	North_admix	30.16084	-97.3907	2020	L	R	1	2	15105.7201	0.34151854
667_03_01_C	667	Sympatry	29.52881	-96.44123	2019	D	R	2	2	9988.5745	0.62042622
667_04_04	667	Sympatry	29.52881	-96.44123	2019	D	R	2	2	8338.9117	0.73494349
667_08_04_C	667	Sympatry	29.52881	-96.44123	2019	D	R	2	2	8039.5021	0.7736644
671_01_06	671	South_admix	29.4161	-97.70415	2019	D	R	2	2	8709.31759	0.68418169
671_02_07	671	South_admix	29.4161	-97.70415	2019	D	R	2	2	7424.31531	0.6216329
671_11_05	671	South_admix	29.4161	-97.70415	2019	D	R	2	2	7140.45269	0.79472823
671_12_05	671	South_admix	29.4161	-97.70415	2019	D	R	2	2	7150.45894	0.73894631
671_13_05	671	South_admix	29.4161	-97.70415	2019	D	R	2	2	10021.7018	0.63019019
671_14_10	671	South_admix	29.4161	-97.70415	2019	D	R	2	2	8642.54542	0.64234554
671_18_08	671	South_admix	29.4161	-97.70415	2019	D	R	2	2	8195.60483	0.71264138
671_21_05	671	South_admix	29.4161	-97.70415	2019	D	R	2	2	7961.7128	0.70123035
673_05_06	673	South_admix	29.39921	-97.74658	2019	L	R	1	2	15070.1064	0.33026763
673_06_06	673	South_admix	29.39921	-97.74658	2019	L	R	1	2	15340.0638	0.30168697
673_07_01	673	South_admix	29.39921	-97.74658	2019	L	B	1	1	15514.1455	0.25200324
673_12_08	673	South_admix	29.39921	-97.74658	2019	L	B	1	1	14337.6968	0.31207446
673_15_07	673	South_admix	29.39921	-97.74658	2019	L	R	1	2	14840.4839	0.35037675
673_16_10	673	South_admix	29.39921	-97.74658	2019	D	B	2	1	12197.092	0.39200236
673_19_06	673	South_admix	29.39921	-97.74658	2019	D	B	2	1	9577.26396	0.54963918
673_21_08	673	South_admix	29.39921	-97.74658	2019	L	B	1	1	15581.7914	0.27030325
